MTS793|BTW|ENU|1|0|.|/|:|1|0|0|A

Data Header:                                                Time:     302.74771 s         8/30/2019 3:23:48 PM
Data Acquisition: Timed
Station Name: Default.cfg
Test File Name: Untitled test
Running Time Axial Force Axial Displacement
s         N         mm
0.20914714 -0.83751976 0.00034496188
0.40917969 0.53811818 -0.0010624528
0.60921222 -0.87656081 -0.00013783574
0.80924481 -0.43030828 0.00095590949
1.0092773 0.95225871 0.00083297491
1.2093099 0.70989132 7.674098e-05
1.4093424 -3.5422297 0.00084117055
1.609375  -2.8442218 -0.00073984265
1.8094076 1.3349205 -9.8347664e-05
2.0094402 0.96611679 9.3877316e-05
2.2094727 -0.86076558 -0.00044107437
2.4095051 -1.897402 5.4389238e-05
2.6095378 -2.1732597 0.00030249357
2.8095703 0.74576586 0.00069141388
3.0096028 2.6538224 0.00049993396
3.2096355 -1.5432761 -0.0037178397
3.409668  -2.4688988 -0.0077925622
3.6097004 -2.7744472 -0.01059249
3.8097332 -4.1683016 -0.011853129
4.0097656 -5.7339668 -0.014371425
4.2097983 -7.0056319 -0.019801408
4.4098306 -7.1102381 -0.0202097
4.6098633 -8.6759405 -0.02290681
4.809896  -9.8325682 -0.027300417
5.0099282 -10.916106 -0.029759854
5.2099609 -10.978617 -0.03214404
5.4099936 -10.615848 -0.035429001
5.6100259 -11.327044 -0.040721148
5.8100586 -12.937188 -0.040159374
6.0100913 -13.857224 -0.044815242
6.2101235 -14.767014 -0.048395246
6.4101563 -15.675836 -0.049682707
6.610189  -16.997196 -0.053440779
6.8102212 -19.368567 -0.060676038
7.0102539 -23.154169 -0.065580755
7.2102866 -24.907217 -0.072363019
7.4103189 -27.862005 -0.07680282
7.6103516 -27.355402 -0.084204227
7.8103843 -30.305906 -0.091741234
8.010417  -30.365698 -0.10045469
8.2104492 -31.547546 -0.10032877
8.4104815 -32.669456 -0.099481642
8.6105146 -33.680534 -0.1005657
8.8105469 -31.794161 -0.10053515
9.0105791 -30.838512 -0.10341629
9.2106123 -36.786758 -0.10963902
9.4106445 -36.644192 -0.1149632
9.6106768 -39.696171 -0.12018979
9.81071   -40.005779 -0.12344792
10.010742 -41.22805 -0.12807623
10.210774 -43.572971 -0.1356639
10.410808 -44.46104 -0.14048442
10.61084  -46.30629 -0.14358163
10.810872 -47.994293 -0.14720261
11.010905 -48.617012 -0.15375465
11.210938 -52.262321 -0.15979409
11.41097  -52.107834 -0.16841143
11.611003 -55.869259 -0.17480478
11.811035 -57.710148 -0.18248558
12.011067 -59.332176 -0.19166768
12.211101 -64.50515 -0.2000384
12.411133 -65.342339 -0.20885915
12.611165 -65.173805 -0.21003485
12.811198 -65.500328 -0.20929351
13.01123  -67.312943 -0.21241456
13.211263 -65.449364 -0.21562576
13.411296 -67.265594 -0.21970943
13.611328 -70.176498 -0.22526085
13.81136  -72.151978 -0.22960082
14.011394 -69.880638 -0.23137257
14.211426 -72.743111 -0.23577884
14.411458 -77.439468 -0.24171919
14.611491 -77.578056 -0.24880618
14.811523 -77.023354 -0.24973452
15.011556 -78.992058 -0.2502732
15.211589 -80.753975 -0.25341213
15.411621 -77.09317 -0.25778636
15.611653 -80.998466 -0.26001558
15.811687 -82.418251 -0.26570186
16.011719 -84.609612 -0.27382597
16.211752 -87.661186 -0.27843267
16.411783 -86.939072 -0.28069839
16.611816 -87.590515 -0.28032064
16.81185  -85.401123 -0.28269067
17.011881 -87.957939 -0.28894469
17.211914 -89.488625 -0.29465482
17.411947 -90.297646 -0.30032918
17.611979 -94.362946 -0.30104667
17.812012 -92.289001 -0.29949993
18.012045 -93.710869 -0.30000508
18.212076 -96.35154 -0.30485094
18.412109 -95.713882 -0.30794367
18.612143 -100.12988 -0.31018183
18.812174 -96.360107 -0.31066313
19.012207 -95.445625 -0.30973256
19.21224  -94.912315 -0.31038821
19.412271 -97.454636 -0.31067133
19.612305 -95.009689 -0.3138274
19.812338 -96.097885 -0.3185153
20.012369 -99.17099 -0.32450929
20.212402 -102.85471 -0.33162981
20.412436 -102.93446 -0.33004135
20.612467 -104.05835 -0.33105463
20.8125   -100.29312 -0.32996312
21.012533 -101.87525 -0.33068508
21.212564 -101.28539 -0.33065751
21.412598 -103.18801 -0.32950342
21.612631 -102.56696 -0.32952726
21.812662 -102.32925 -0.33044443
22.012695 -101.78663 -0.33038557
22.212729 -99.660233 -0.33141896
22.41276  -101.26266 -0.33020377
22.612793 -100.82763 -0.33088028
22.812826 -100.67947 -0.32997876
23.012857 -101.64369 -0.33001602
23.212891 -102.20084 -0.32971948
23.412924 -101.77747 -0.32931939
23.612955 -100.07419 -0.32990202
23.812988 -103.22079 -0.33054948
24.013021 -101.12234 -0.33063293
24.213053 -102.01104 -0.33033043
24.413086 -102.25088 -0.33088997
24.613119 -99.744087 -0.33007264
24.81315  -101.57793 -0.33126622
25.013184 -102.62505 -0.32991245
25.213217 -101.37827 -0.33009872
25.413248 -100.34792 -0.32991096
25.613281 -102.09952 -0.32944307
25.813314 -100.52093 -0.32905638
26.013346 -99.754669 -0.33039153
26.213379 -101.02656 -0.33006221
26.413412 -101.27157 -0.32918081
26.613443 -99.219421 -0.33024475
26.813477 -100.58124 -0.32963231
27.01351  -101.22705 -0.32865182
27.213541 -103.89734 -0.33144057
27.413574 -100.25323 -0.33104792
27.613607 -99.615753 -0.33070222
27.813639 -100.7314 -0.3299661
28.013672 -98.17701 -0.33065528
28.213705 -101.91172 -0.32983273
28.413736 -99.889595 -0.32991469
28.61377  -100.34185 -0.33065528
28.813803 -99.785217 -0.32929927
29.013834 -101.57797 -0.32994449
29.213867 -99.994911 -0.33038184
29.4139   -102.16064 -0.32971799
