Forca,Tempo
-0.2,0.262
-0.2,0.525
-0.1,0.787
-0.0,1.049
-0.1,1.311
-0.1,1.572
-0.0,1.834
0.1,2.096
0.1,2.359
0.1,2.621
-0.0,2.883
0.1,3.145
0.2,3.406
0.3,3.668
0.2,3.93
-0.1,4.193
-0.2,4.455
-0.2,4.717
-0.1,4.979
-0.2,5.24
-0.1,5.502
-0.1,5.764
0.4,6.027
1.3,6.289
2.4,6.551
3.1,6.813
3.2,7.074
3.2,7.336
3.2,7.598
3.2,7.861
3.6,8.123
4.6,8.385
5.7,8.647
6.3,8.909
6.5,9.17
7.0,9.432
8.2,9.695
9.9,9.957
11.6,10.219
12.7,10.481
13.1,10.743
13.1,11.004
13.5,11.266
14.7,11.529
16.5,11.791
18.0,12.053
19.0,12.315
19.9,12.577
21.1,12.839
22.4,13.1
23.5,13.362
24.1,13.625
24.4,13.887
24.9,14.149
25.9,14.411
27.0,14.673
28.3,14.935
29.1,15.196
29.7,15.459
30.0,15.721
31.0,15.983
32.7,16.245
34.7,16.507
36.5,16.769
37.4,17.031
37.8,17.293
37.7,17.555
37.7,17.817
37.8,18.079
38.6,18.341
40.1,18.603
41.2,18.865
41.3,19.127
40.6,19.389
40.0,19.651
39.7,19.913
40.2,20.175
41.7,20.437
44.0,20.699
45.5,20.962
46.1,21.223
45.8,21.485
45.6,21.747
45.5,22.009
45.4,22.271
45.2,22.533
45.0,22.796
45.1,23.057
46.0,23.319
47.8,23.581
50.4,23.843
53.1,24.105
55.1,24.367
55.9,24.63
56.0,24.891
56.3,25.153
57.9,25.415
60.7,25.677
64.0,25.939
66.3,26.201
67.2,26.464
67.5,26.725
68.2,26.987
69.2,27.249
70.1,27.511
71.2,27.773
72.3,28.035
73.0,28.298
73.1,28.56
73.1,28.821
73.8,29.083
75.0,29.345
77.0,29.607
79.3,29.869
81.7,30.132
83.4,30.394
84.7,30.655
85.5,30.917
86.3,31.179
86.9,31.441
87.0,31.703
87.0,31.965
87.4,32.228
88.7,32.489
90.6,32.751
92.0,33.013
92.3,33.275
92.1,33.537
92.0,33.799
92.5,34.062
93.5,34.324
94.4,34.585
94.6,34.847
94.7,35.109
95.4,35.371
96.3,35.633
96.7,35.896
96.7,36.158
96.6,36.419
96.7,36.681
96.6,36.943
96.6,37.205
96.4,37.467
96.7,37.73
97.6,37.992
98.7,38.253
99.6,38.515
99.7,38.777
99.6,39.039
99.5,39.301
99.4,39.564
99.3,39.826
99.2,40.087
99.2,40.349
99.3,40.611
99.4,40.873
99.3,41.135
99.1,41.398
98.9,41.66
98.9,41.921
98.8,42.183
98.8,42.445
98.7,42.707
98.8,42.969
98.8,43.232
98.8,43.494
98.8,43.755
98.8,44.017
98.7,44.279
98.7,44.541
98.7,44.803
98.6,45.066
98.5,45.328
98.5,45.589
98.6,45.851
98.6,46.113
98.6,46.375
98.5,46.637
98.5,46.9
98.5,47.162
98.4,47.423
98.4,47.685
98.4,47.947
98.6,48.209
98.6,48.471
98.6,48.733
98.6,48.996
98.5,49.258
98.4,49.519
98.3,49.781
98.2,50.043
98.3,50.305
98.4,50.567
98.4,50.83
98.3,51.092
98.3,51.353
98.3,51.615
98.3,51.877
98.3,52.139
98.2,52.401
98.2,52.664
98.2,52.926
98.3,53.187
98.3,53.449
98.2,53.711
98.2,53.973
98.1,54.235
98.0,54.498
98.0,54.76
98.0,55.022
98.1,55.283
98.2,55.545
98.3,55.807
98.4,56.069
98.5,56.332
99.0,56.594
100.2,56.856
101.3,57.118
102.0,57.379
102.1,57.641
101.9,57.903
102.2,58.166
103.1,58.428
104.3,58.69
105.3,58.952
106.5,59.213
108.1,59.475
109.9,59.737
111.1,60.0
112.5,60.262
114.1,60.524
116.5,60.785
118.8,61.047
120.7,61.309
122.6,61.571
124.7,61.834
127.0,62.096
129.5,62.358
131.5,62.619
133.2,62.881
134.8,63.143
136.9,63.405
139.3,63.668
141.5,63.93
143.4,64.192
145.2,64.454
146.8,64.715
148.3,64.977
149.5,65.239
151.2,65.501
152.7,65.764
154.0,66.026
155.1,66.288
156.0,66.549
156.6,66.811
156.6,67.073
156.9,67.335
157.7,67.598
158.7,67.86
159.5,68.122
160.1,68.383
161.2,68.645
163.2,68.907
164.8,69.169
165.7,69.432
165.9,69.694
166.7,69.956
168.3,70.217
171.0,70.479
174.3,70.741
178.0,71.003
180.6,71.266
182.3,71.528
183.6,71.79
185.6,72.051
187.5,72.313
188.9,72.575
190.3,72.837
192.3,73.1
194.0,73.362
194.8,73.624
194.8,73.885
194.8,74.147
194.7,74.409
195.0,74.671
195.8,74.934
196.8,75.196
197.7,75.457
197.9,75.719
197.9,75.981
197.8,76.243
197.8,76.505
197.7,76.768
197.5,77.03
197.4,77.292
198.2,77.553
199.3,77.815
200.6,78.077
201.0,78.339
201.1,78.602
201.1,78.864
201.3,79.126
202.0,79.387
203.1,79.649
204.2,79.911
204.7,80.173
204.7,80.436
204.7,80.698
204.6,80.96
204.7,81.221
204.7,81.483
204.6,81.745
204.4,82.007
204.3,82.269
204.2,82.532
204.3,82.794
204.5,83.055
204.7,83.317
204.6,83.579
204.4,83.841
204.4,84.103
204.5,84.366
204.5,84.628
204.6,84.889
204.5,85.151
204.3,85.413
204.2,85.675
204.3,85.937
204.4,86.2
204.4,86.462
204.3,86.723
204.2,86.985
204.2,87.247
204.2,87.509
204.2,87.771
204.1,88.034
204.1,88.296
204.0,88.557
204.0,88.819
203.9,89.081
204.0,89.343
204.0,89.605
204.2,89.868
204.2,90.13
204.1,90.391
204.1,90.653
204.0,90.915
204.1,91.177
204.1,91.439
204.2,91.702
204.2,91.964
204.2,92.225
204.1,92.487
204.0,92.749
204.0,93.011
203.9,93.273
203.9,93.536
203.9,93.798
204.0,94.06
204.0,94.321
204.0,94.583
204.0,94.845
204.0,95.107
204.0,95.37
203.8,95.632
203.7,95.894
203.7,96.155
203.9,96.417
204.0,96.679
203.9,96.941
203.9,97.204
203.9,97.466
204.0,97.728
204.1,97.99
204.1,98.251
204.0,98.513
203.9,98.775
204.0,99.037
203.9,99.3
203.8,99.562
203.7,99.824
203.8,100.086
203.9,100.347
203.9,100.609
204.0,100.871
203.9,101.134
203.9,101.396
204.5,101.658
205.9,101.92
209.2,102.182
214.9,102.443
223.3,102.705
231.2,102.968
235.9,103.23
237.3,103.492
237.0,103.754
237.7,104.016
240.1,104.278
245.8,104.539
253.1,104.802
258.8,105.064
261.1,105.326
261.1,105.588
262.0,105.85
265.7,106.112
