Deformacao,Tempo
0.1,0.212
-0.5,0.474
-0.6,0.736
-0.2,0.997
0.2,1.259
0.5,1.522
-0.4,1.784
-1.5,2.046
-1.6,2.307
-1.2,2.569
-0.1,2.831
0.2,3.093
0.2,3.356
0.1,3.617
0.4,3.879
0.3,4.141
0.3,4.403
0.3,4.665
0.7,4.926
0.5,5.188
-0.0,5.451
0.2,5.713
0.1,5.975
-0.4,6.236
-0.6,6.498
-0.3,6.76
-0.1,7.022
-0.5,7.285
-2.9,7.546
-11.0,7.808
-24.0,8.07
-36.6,8.332
-43.6,8.594
-46.1,8.855
-46.8,9.118
-47.1,9.38
-46.9,9.642
-46.6,9.903
-45.9,10.165
-45.6,10.427
-45.3,10.689
-45.3,10.952
-45.7,11.213
-46.3,11.475
-46.6,11.737
-45.7,11.999
-45.6,12.261
-45.4,12.522
-45.9,12.784
-46.0,13.047
-46.4,13.309
-47.1,13.57
-47.2,13.832
-46.6,14.094
-46.7,14.356
-46.4,14.618
-46.4,14.88
-45.7,15.142
-46.8,15.404
-47.3,15.666
-47.3,15.928
-45.9,16.189
-45.6,16.451
-45.9,16.714
-48.7,16.976
-57.6,17.238
-71.5,17.499
-86.1,17.761
-93.9,18.023
-96.1,18.285
-95.9,18.547
-95.1,18.809
-94.1,19.071
-93.0,19.333
-92.7,19.595
-93.4,19.856
-93.6,20.118
-94.0,20.381
-94.0,20.643
-94.2,20.905
-94.7,21.166
-95.1,21.428
-95.4,21.69
-94.8,21.952
-94.5,22.213
-94.4,22.476
-94.4,22.738
-94.4,23.0
-94.7,23.262
-95.0,23.523
-95.3,23.785
-94.9,24.047
-94.9,24.31
-94.1,24.572
-94.2,24.833
-93.8,25.095
-94.2,25.357
-94.6,25.619
-95.0,25.88
-94.6,26.143
-94.2,26.405
-94.4,26.667
-94.8,26.929
-95.2,27.19
-94.9,27.452
-95.4,27.714
-95.2,27.977
-95.0,28.239
-94.7,28.5
-95.9,28.762
-100.3,29.024
-105.6,29.286
-112.9,29.547
-121.7,29.81
-130.6,30.072
-137.9,30.334
-139.5,30.596
-140.6,30.857
-140.6,31.119
-141.9,31.381
-141.8,31.644
-141.7,31.905
-141.5,32.167
