Forca,Tempo
0.0,0.262
0.0,0.524
0.1,0.786
0.1,1.049
0.1,1.311
0.1,1.573
-0.0,1.835
0.0,2.097
0.1,2.359
0.1,2.621
0.1,2.884
0.1,3.146
0.1,3.407
0.0,3.669
0.1,3.931
0.2,4.193
0.2,4.455
0.1,4.718
0.0,4.98
-0.0,5.242
-0.1,5.504
0.0,5.766
0.9,6.028
2.0,6.29
3.2,6.553
4.3,6.814
5.2,7.076
6.5,7.338
7.8,7.6
9.0,7.862
10.3,8.124
11.6,8.387
12.8,8.649
14.2,8.911
15.4,9.173
17.0,9.435
18.9,9.697
21.3,9.958
23.9,10.221
26.5,10.483
28.9,10.745
30.5,11.007
31.3,11.269
31.4,11.531
31.9,11.793
33.2,12.056
35.1,12.318
37.0,12.579
39.2,12.841
41.3,13.103
43.5,13.365
45.5,13.627
47.7,13.89
50.2,14.152
53.0,14.414
56.0,14.676
59.2,14.938
62.3,15.199
64.2,15.461
65.0,15.724
65.7,15.986
67.1,16.248
68.8,16.51
70.2,16.772
71.8,17.034
73.8,17.296
75.9,17.559
77.4,17.82
78.4,18.082
79.7,18.344
81.3,18.606
83.3,18.868
84.9,19.13
86.1,19.393
87.2,19.655
89.0,19.917
91.0,20.179
92.3,20.44
92.8,20.702
93.2,20.964
94.1,21.227
95.0,21.489
95.4,21.751
95.4,22.013
95.5,22.275
96.5,22.537
98.3,22.798
100.1,23.061
101.1,23.323
101.3,23.585
101.2,23.847
101.1,24.109
101.0,24.371
100.8,24.633
100.8,24.896
100.7,25.158
100.7,25.419
100.8,25.681
100.8,25.943
100.6,26.205
100.6,26.467
100.6,26.73
100.8,26.992
100.6,27.254
100.7,27.516
100.7,27.778
100.8,28.04
100.8,28.302
100.8,28.563
100.7,28.826
100.5,29.088
100.4,29.35
100.5,29.612
100.5,29.874
100.6,30.136
100.6,30.398
100.6,30.661
100.7,30.923
100.6,31.185
100.5,31.446
100.4,31.708
100.4,31.97
100.5,32.232
100.6,32.495
100.6,32.757
100.6,33.019
100.5,33.281
100.6,33.543
100.6,33.805
100.6,34.067
100.6,34.33
100.6,34.592
100.5,34.853
100.4,35.115
100.3,35.377
100.3,35.639
100.2,35.901
100.2,36.164
100.4,36.426
100.4,36.688
100.5,36.95
100.3,37.212
100.3,37.474
100.4,37.736
100.4,37.998
100.5,38.26
100.3,38.522
100.4,38.784
100.4,39.046
100.4,39.308
100.2,39.57
100.6,39.833
102.0,40.095
104.4,40.357
107.4,40.619
109.9,40.88
112.2,41.142
114.3,41.404
116.9,41.667
119.7,41.929
122.5,42.191
125.4,42.453
128.4,42.715
131.2,42.977
133.7,43.239
136.2,43.502
138.8,43.763
141.5,44.025
143.3,44.287
144.8,44.549
146.6,44.811
148.9,45.073
151.2,45.336
153.3,45.598
155.1,45.86
156.2,46.122
157.3,46.384
158.6,46.645
160.8,46.907
163.1,47.17
165.2,47.432
166.8,47.694
168.3,47.956
170.2,48.218
172.4,48.48
174.7,48.742
176.5,49.005
177.4,49.267
177.8,49.528
178.7,49.79
180.5,50.052
182.9,50.314
185.2,50.576
186.9,50.839
187.8,51.101
188.6,51.363
190.1,51.625
192.3,51.887
193.9,52.148
194.8,52.41
195.5,52.673
196.7,52.935
197.7,53.197
198.3,53.459
198.2,53.721
198.3,53.983
198.9,54.245
200.0,54.508
200.8,54.77
201.1,55.031
201.3,55.293
202.2,55.555
203.5,55.817
204.5,56.079
205.0,56.342
205.1,56.604
205.0,56.866
204.9,57.128
204.8,57.39
204.7,57.652
204.7,57.913
204.6,58.176
204.7,58.438
204.8,58.7
204.7,58.962
204.6,59.224
204.6,59.486
204.6,59.748
204.7,60.011
204.8,60.273
204.8,60.535
204.6,60.796
204.6,61.058
204.4,61.32
204.5,61.582
204.5,61.845
204.6,62.107
204.5,62.369
204.4,62.631
204.4,62.893
204.5,63.155
204.6,63.417
204.6,63.678
204.6,63.941
204.5,64.203
204.6,64.465
204.6,64.727
204.6,64.989
204.5,65.251
204.4,65.514
204.3,65.775
204.4,66.037
204.4,66.299
204.4,66.561
204.4,66.823
204.5,67.085
204.5,67.347
204.4,67.61
204.3,67.872
204.3,68.134
204.3,68.395
204.4,68.657
204.3,68.919
204.3,69.181
204.3,69.444
204.3,69.706
204.3,69.968
204.3,70.23
204.3,70.492
204.4,70.753
204.3,71.015
204.3,71.278
204.2,71.54
204.2,71.802
204.2,72.064
204.3,72.326
204.3,72.588
204.3,72.85
204.1,73.113
204.1,73.374
204.1,73.636
204.2,73.898
204.1,74.16
204.4,74.422
205.4,74.684
207.7,74.947
210.8,75.209
213.7,75.471
216.8,75.732
220.1,75.994
223.8,76.256
227.4,76.518
230.8,76.781
234.0,77.043
236.6,77.305
239.1,77.567
241.4,77.829
243.7,78.091
246.4,78.353
249.8,78.615
254.0,78.877
258.0,79.139
260.7,79.401
263.1,79.663
265.5,79.925
268.6,80.187
272.2,80.45
275.5,80.712
277.7,80.974
278.4,81.235
278.4,81.497
278.4,81.759
277.9,82.021
277.7,82.284
278.1,82.546
279.0,82.808
279.2,83.07
278.9,83.332
278.7,83.594
278.9,83.855
279.3,84.118
279.4,84.38
279.5,84.642
279.6,84.904
279.6,85.166
279.3,85.428
279.0,85.69
279.3,85.953
279.8,86.215
280.2,86.476
280.4,86.738
280.7,87.0
280.5,87.262
279.8,87.524
279.5,87.787
279.6,88.049
280.2,88.311
280.4,88.573
280.7,88.835
280.4,89.096
280.2,89.358
279.9,89.621
280.1,89.883
280.3,90.145
280.6,90.407
281.4,90.669
281.9,90.931
282.2,91.193
282.0,91.456
282.1,91.717
282.1,91.979
282.2,92.241
282.1,92.503
282.4,92.765
282.1,93.027
282.3,93.29
282.5,93.552
282.9,93.814
282.9,94.076
282.8,94.337
282.7,94.599
282.4,94.861
282.1,95.123
281.8,95.386
281.7,95.648
281.6,95.91
281.7,96.172
282.0,96.434
282.2,96.695
282.4,96.957
282.3,97.22
281.9,97.482
281.7,97.744
281.6,98.006
281.7,98.268
281.8,98.53
281.7,98.792
281.8,99.054
281.6,99.316
281.7,99.578
281.6,99.84
281.6,100.102
281.6,100.364
281.8,100.626
281.9,100.889
281.9,101.15
281.8,101.412
281.7,101.674
281.8,101.936
281.8,102.198
282.0,102.46
281.5,102.723
281.5,102.985
281.2,103.247
281.5,103.508
281.6,103.77
281.6,104.032
281.5,104.294
281.3,104.557
281.5,104.819
281.3,105.081
281.8,105.343
281.6,105.605
281.7,105.866
281.2,106.128
281.3,106.391
281.4,106.653
281.7,106.915
281.7,107.177
281.8,107.439
281.7,107.701
281.6,107.963
281.5,108.225
281.6,108.487
281.7,108.749
281.6,109.011
281.7,109.273
281.9,109.535
282.1,109.797
282.7,110.06
283.6,110.322
285.7,110.584
289.6,110.846
293.8,111.107
297.9,111.369
301.3,111.631
305.6,111.894
310.3,112.156
314.9,112.418
319.0,112.68
322.8,112.942
326.3,113.204
329.8,113.466
332.7,113.728
335.4,113.99
337.9,114.252
340.7,114.514
343.8,114.776
347.0,115.038
350.7,115.3
354.0,115.563
356.0,115.825
356.9,116.087
357.8,116.349
359.8,116.61
362.8,116.872
366.4,117.134
369.1,117.397
370.6,117.659
370.7,117.921
370.7,118.183
371.4,118.445
373.0,118.707
375.6,118.969
378.4,119.23
380.4,119.493
381.3,119.755
381.5,120.017
381.7,120.279
382.6,120.541
384.3,120.803
386.4,121.066
388.0,121.328
388.6,121.59
388.7,121.852
389.4,122.113
390.6,122.375
391.7,122.637
392.4,122.899
393.3,123.162
394.7,123.424
396.0,123.686
397.5,123.948
398.5,124.21
399.1,124.472
399.2,124.733
399.1,124.996
399.2,125.258
399.2,125.52
399.2,125.782
399.1,126.044
399.0,126.306
398.9,126.568
398.9,126.831
399.0,127.093
399.0,127.355
399.0,127.616
398.8,127.878
398.8,128.14
398.8,128.402
398.8,128.665
398.8,128.927
398.8,129.189
398.9,129.451
398.9,129.713
399.0,129.975
398.9,130.237
399.0,130.5
398.8,130.761
398.7,131.023
398.7,131.285
398.7,131.547
398.7,131.809
398.6,132.071
398.7,132.334
398.7,132.596
398.6,132.858
398.6,133.12
398.5,133.381
398.6,133.643
398.8,133.905
399.0,134.168
399.0,134.43
398.9,134.692
398.7,134.954
398.7,135.216
398.7,135.478
398.7,135.74
398.7,136.003
398.6,136.264
398.6,136.526
398.7,136.788
398.7,137.05
398.5,137.312
398.4,137.574
398.3,137.837
398.2,138.099
398.4,138.361
398.5,138.623
398.6,138.884
398.6,139.146
398.6,139.408
398.6,139.671
398.6,139.933
398.5,140.195
398.5,140.457
398.4,140.719
398.5,140.981
398.3,141.243
398.4,141.506
398.5,141.767
398.7,142.029
399.3,142.291
400.9,142.553
403.8,142.815
407.8,143.077
412.0,143.34
416.1,143.602
419.8,143.864
423.5,144.126
426.9,144.388
429.2,144.649
431.0,144.911
432.7,145.174
434.9,145.436
436.9,145.698
438.4,145.96
440.0,146.222
441.7,146.484
443.1,146.746
444.5,147.009
445.5,147.271
446.4,147.533
446.6,147.794
446.6,148.056
446.7,148.318
447.6,148.58
449.5,148.843
452.6,149.105
456.3,149.367
460.1,149.629
462.7,149.891
464.1,150.153
464.4,150.415
464.8,150.677
465.7,150.939
466.8,151.201
467.8,151.463
469.2,151.725
471.4,151.987
474.7,152.249
478.1,152.512
480.4,152.774
481.2,153.036
481.1,153.298
481.2,153.559
481.4,153.821
482.4,154.083
484.2,154.346
486.9,154.608
489.4,154.87
490.9,155.132
491.3,155.394
491.2,155.656
491.7,155.918
492.7,156.181
493.9,156.442
494.6,156.704
494.7,156.966
494.9,157.228
495.8,157.49
496.9,157.752
497.5,158.014
497.7,158.277
497.7,158.539
497.7,158.801
497.9,159.063
498.5,159.325
499.5,159.586
500.4,159.848
500.7,160.111
500.7,160.373
500.5,160.635
500.6,160.897
500.5,161.159
500.5,161.421
500.5,161.683
500.6,161.946
500.7,162.208
500.5,162.469
500.5,162.731
500.4,162.993
500.3,163.255
500.2,163.517
500.3,163.78
500.5,164.042
500.5,164.304
500.4,164.566
500.1,164.828
500.2,165.09
500.2,165.352
500.3,165.615
500.3,165.876
500.3,166.138
500.2,166.4
500.1,166.662
500.3,166.924
500.4,167.186
500.4,167.449
500.2,167.711
500.2,167.973
500.2,168.235
500.2,168.497
500.2,168.758
500.3,169.02
500.3,169.283
500.3,169.545
500.2,169.807
500.3,170.069
500.2,170.331
500.2,170.593
500.1,170.855
500.0,171.118
500.1,171.38
500.0,171.642
500.1,171.903
500.0,172.165
500.0,172.427
500.1,172.689
500.1,172.952
500.2,173.214
500.2,173.476
500.2,173.738
500.0,174.0
500.0,174.262
500.0,174.524
500.1,174.787
500.2,175.048
500.2,175.31
500.3,175.572
500.2,175.834
500.1,176.096
500.0,176.358
500.2,176.621
500.0,176.883
500.0,177.145
500.0,177.407
500.0,177.669
500.1,177.93
500.1,178.192
500.2,178.455
499.7,178.717
498.4,178.979
495.9,179.241
492.5,179.503
488.6,179.765
484.6,180.027
480.4,180.29
476.1,180.552
472.5,180.814
469.2,181.075
465.9,181.337
462.2,181.599
458.3,181.861
454.2,182.124
449.9,182.386
445.4,182.648
441.1,182.91
436.8,183.172
432.7,183.434
428.4,183.696
424.1,183.958
419.7,184.22
415.4,184.482
